,2024-06-1,9.2,17.5,0,,,S,31,15:39,12.5,87,1,SSE,17,1025.9,15.7,47,2,S,15,1024.9
,2024-06-2,3.9,16.4,0,,,NNE,39,13:50,8.5,76,,E,11,1027.7,15.7,36,,NNE,13,1023.5
,2024-06-3,7.2,15.5,0,,,N,48,13:02,9.2,64,8,N,22,1019.1,13.1,44,8,N,26,1015.0
,2024-06-4,8.4,10.6,4.6,,,NE,31,14:08,8.8,99,8,ENE,17,1015.1,9.9,94,8,ENE,22,1015.3
,2024-06-5,6.3,15.7,2.8,,,SSW,28,16:18,9.2,94,,SSW,11,1025.1,15.0,51,,SSW,19,1025.2
,2024-06-6,7.3,17.0,0.2,,,SSW,28,15:17,8.5,99,8,SE,11,1029.0,16.7,57,1,S,17,1026.3
,2024-06-7,6.7,16.7,0.2,,,,,,10.5,94,,S,9,1026.6,16.3,58,,SW,17,1022.8
,2024-06-8,4.0,15.6,0,,,W,24,12:30,9.5,96,, ,Calm,1022.9,14.9,54,7,WSW,9,1020.5
,2024-06-9,5.2,19.0,0.2,,,WNW,24,13:05,10.4,81,,N,9,1023.2,18.6,43,8,NNW,9,1021.5
,2024-06-10,10.4,23.8,0,,,N,41,13:12,15.5,59,7,NNE,17,1023.4,23.3,27,5,N,30,1019.6
,2024-06-11,11.5,24.0,0,,,N,35,01:28,14.1,55,8,NNW,17,1019.5,23.3,32,5,SW,19,1017.8
,2024-06-12,8.5,17.9,0,,,SW,22,00:01,12.3,89,4,SSW,9,1023.6,17.2,63,7,SSE,11,1022.9
,2024-06-13,7.6,19.7,0,,,N,31,23:48,12.0,89,5,E,9,1022.3,19.3,48,7,NNW,9,1018.9
,2024-06-14,12.0,19.6,0,,,WSW,50,15:14,14.3,78,8,WSW,26,1018.3,18.6,51,5,WSW,30,1016.7
,2024-06-15,9.6,17.2,0,,,S,39,09:39,12.0,83,3,S,22,1021.2,16.5,50,8,S,22,1020.2
,2024-06-16,4.8,16.7,0,,,ESE,30,10:42,10.2,82,,SSE,11,1024.3,16.0,50,1,ESE,11,1021.7
,2024-06-17,5.1,17.4,0.2,,,N,35,12:51,10.2,71,6,NNE,17,1023.5,16.3,48,8,N,19,1020.2
,2024-06-18,9.6,18.5,0,,,NNE,43,10:41,12.2,64,,NE,28,1017.1,17.9,45,5,N,19,1014.9
,2024-06-19,7.1,20.0,0,,,W,46,16:43,11.2,74,1,W,11,1015.8,19.0,47,,W,30,1013.4
,2024-06-20,5.4,17.3,0,,,W,67,16:34,9.4,79,,WNW,20,1018.2,15.7,50,7,WNW,41,1015.3
,2024-06-21,6.8,16.8,0,,,SSE,37,16:37,9.7,89,,SSW,17,1026.0,15.7,54,7,SE,19,1025.8
,2024-06-22,1.9,15.4,0,,,SE,24,00:13,7.9,99,,ESE,9,1031.1,14.7,39,,E,9,1027.3
,2024-06-23,2.6,16.1,0,,,N,43,12:48,7.8,61,7,N,17,1025.2,14.4,35,6,N,26,1020.8
,2024-06-24,5.6,18.0,0,,,N,33,01:36,9.8,57,,NNW,17,1017.1,17.7,38,3,WNW,20,1013.9
,2024-06-25,6.6,17.8,0,,,NW,56,13:26,9.7,63,,NW,17,1015.1,16.5,32,,NW,37,1012.9
,2024-06-26,3.7,18.9,0,,,NW,43,12:44,8.9,58,,NW,9,1020.2,18.2,30,,NW,22,1018.1
,2024-06-27,3.5,,0,,,,,,12.0,46,,NE,9,1022.6,,,,,,
,2024-06-28,9.0,20.1,,,,N,56,12:29,13.8,37,6,N,28,1019.5,19.0,23,8,N,35,1016.4
,2024-06-29,9.9,15.3,6.0,,,SSE,44,20:03,10.3,95,8,NNE,13,1016.2,14.9,87,8,NNW,11,1014.5
,2024-06-30,6.5,14.0,1.0,,,SE,46,14:23,8.6,81,,SSE,26,1025.2,12.8,44,1,SE,31,1024.8
